set,h_center_deg,target_dE00,A_hex,A_hsv,A_hsl,A_Lab,B_hex,B_hsv,B_hsl,B_Lab,dE00,dE76
1,263.0,2.0,#348AC4,"204.2,73.4,76.9","204.2,58.0,48.7","55.00,-6.13,-37.50",#4189C5,"207.4,67.0,77.2","207.4,53.1,51.3","55.00,-3.12,-37.87",1.99,3.03
2,263.0,4.0,#2D8BC4,"202.6,77.1,76.7","202.6,62.8,47.1","55.00,-7.65,-37.22",#4788C5,"209.1,64.0,77.3","209.1,52.1,52.5","55.00,-1.58,-37.97",4.01,6.11
3,263.0,6.0,#248BC3,"201.0,81.4,76.5","201.0,68.6,45.4","55.00,-9.16,-36.88",#4D87C5,"210.9,61.2,77.3","210.9,51.0,53.7","55.00,-0.04,-38.00",6.02,9.19
4,263.0,10.0,#0B8DC1,"197.3,94.5,75.9","197.3,89.6,40.0","55.00,-12.12,-36.01",#5785C5,"214.8,55.8,77.3","214.8,48.6,55.7","55.00,3.05,-37.88",10.02,15.28
5,273.0,2.0,#4F87C5,"211.7,59.9,77.3","211.7,50.5,54.1","55.00,0.65,-37.99",#5885C5,"215.1,55.3,77.2","215.1,48.4,55.9","55.00,3.33,-37.85",2.0,2.68
6,273.0,4.0,#4A87C5,"210.1,62.4,77.3","210.1,51.5,53.2","55.00,-0.69,-37.99",#5C84C5,"217.0,53.1,77.2","217.0,47.3,56.7","55.00,4.66,-37.71",3.99,5.36
7,273.0,6.0,#4588C5,"208.6,64.9,77.3","208.6,52.4,52.2","55.00,-2.03,-37.95",#6184C4,"218.9,50.9,77.0","218.9,46.0,57.4","55.00,5.99,-37.53",5.98,8.03
8,273.0,10.0,#3A89C5,"205.7,70.3,77.1","205.7,54.3,50.0","55.00,-4.76,-37.70",#6982C4,"223.3,46.4,76.7","223.3,43.3,58.9","55.00,8.67,-37.00",10.02,13.45
9,283.0,2.0,#6583C4,"221.1,48.6,76.9","221.1,44.7,58.2","55.00,7.35,-37.28",#6C81C3,"225.2,44.7,76.5","225.2,42.1,59.4","55.00,9.74,-36.73",2.0,2.45
10,283.0,4.0,#6184C4,"219.2,50.6,77.0","219.2,45.9,57.5","55.00,6.15,-37.50",#6F81C3,"227.6,42.7,76.3","227.6,40.8,60.0","55.00,10.91,-36.40",4.01,4.89
11,283.0,6.0,#5D84C5,"217.4,52.6,77.1","217.4,47.0,56.8","55.00,4.94,-37.68",#7380C2,"230.1,40.8,76.1","230.1,39.3,60.5","55.00,12.08,-36.03",6.01,7.33
12,283.0,10.0,#5586C5,"214.0,56.7,77.3","214.0,49.1,55.4","55.00,2.50,-37.92",#797EC1,"235.8,37.0,75.5","235.8,36.3,61.5","55.00,14.38,-35.18",9.98,12.19
13,293.0,2.0,#787FC1,"234.1,38.0,75.7","234.1,37.2,61.3","55.00,13.74,-35.43",#7E7DBF,"240.4,34.5,75.0","240.4,34.2,62.1","55.00,15.94,-34.50",1.99,2.39
14,293.0,4.0,#7480C2,"231.3,39.9,75.9","231.3,38.6,60.8","55.00,12.62,-35.84",#817DBE,"243.9,34.6,74.7","243.9,33.8,61.8","55.00,17.02,-33.98",3.97,4.78
15,293.0,6.0,#7180C2,"228.7,41.8,76.2","228.7,40.1,60.3","55.00,11.46,-36.23",#847CBE,"247.3,34.7,74.3","247.3,33.4,61.4","55.00,18.10,-33.41",6.0,7.22
16,293.0,10.0,#6A82C3,"224.1,45.7,76.6","224.1,42.8,59.1","55.00,9.13,-36.89",#8A7ABB,"254.1,34.8,73.5","254.1,32.6,60.7","55.00,20.19,-32.19",10.0,12.02
17,303.0,2.0,#887BBC,"252.2,34.8,73.8","252.2,32.8,60.9","55.00,19.61,-32.55",#8E79BA,"259.3,34.9,72.8","259.3,31.8,60.1","55.00,21.76,-31.15",1.99,2.56
18,303.0,4.0,#857BBD,"248.6,34.7,74.2","248.6,33.3,61.3","55.00,18.50,-33.19",#9178B8,"262.8,34.9,72.3","262.8,31.3,59.7","55.00,22.80,-30.40",3.98,5.13
19,303.0,6.0,#827CBE,"244.9,34.7,74.6","244.9,33.7,61.7","55.00,17.34,-33.81",#9377B7,"266.4,34.8,71.8","266.4,30.7,59.3","55.00,23.83,-29.60",6.01,7.74
20,303.0,10.0,#7B7EC0,"237.5,35.9,75.3","237.5,35.4,61.8","55.00,15.00,-34.92",#9976B4,"273.7,34.7,70.7","273.7,29.5,58.4","55.00,25.80,-27.90",10.0,12.88
