targetCol,targetAud,ResposeBox,Acc,resp
 color1_target, audio1_target_file,4,1,Correct
 color1_target, audio2_target_file,4,1,Correct
 color1_target, audio1_H_file,3,1,Correct
 color1_target, audio1_L_file,3,1,Correct
 color1_target, audio2_H_file,3,1,Correct
 color1_target, audio2_L_file,3,1,Correct
 color2_target, audio1_target_file,4,1,Correct
 color2_target, audio2_target_file,4,1,Correct
 color2_target, audio1_H_file,3,1,Correct
 color2_target, audio1_L_file,3,1,Correct
 color2_target, audio2_H_file,3,1,Correct
 color2_target, audio2_L_file,3,1,Correct
 color1_H, audio1_target_file,3,1,Correct
 color1_H, audio2_target_file,3,1,Correct
 color1_H, audio1_H_file,3,1,Correct
 color1_H, audio1_L_file,3,1,Correct
 color1_H, audio2_H_file,3,1,Correct
 color1_H, audio2_L_file,3,1,Correct
 color1_L, audio1_target_file,3,1,Correct
 color1_L, audio2_target_file,3,1,Correct
 color1_L, audio1_H_file,3,1,Correct
 color1_L, audio1_L_file,3,1,Correct
 color1_L, audio2_H_file,3,1,Correct
 color1_L, audio2_L_file,3,1,Correct
 color2_L, audio1_target_file,3,1,Correct
 color2_L, audio2_target_file,3,1,Correct
 color2_L, audio1_H_file,3,1,Correct
 color2_L, audio1_L_file,3,1,Correct
 color2_L, audio2_H_file,3,1,Correct
 color2_L, audio2_L_file,3,1,Correct
 color2_H, audio1_target_file,3,1,Correct
 color2_H, audio2_target_file,3,1,Correct
 color2_H, audio1_H_file,3,1,Correct
 color2_H, audio1_L_file,3,1,Correct
 color2_H, audio2_H_file,3,1,Correct
 color2_H, audio2_L_file,3,1,Correct
 color1_target, audio1_target_file,3,0,I3correct
 color1_target, audio2_target_file,3,0,I3correct
 color1_target, audio1_H_file,4,0,I3correct
 color1_target, audio1_L_file,4,0,I3correct
 color1_target, audio2_H_file,4,0,I3correct
 color1_target, audio2_L_file,4,0,I3correct
 color2_target, audio1_target_file,3,0,I3correct
 color2_target, audio2_target_file,3,0,I3correct
 color2_target, audio1_H_file,4,0,I3correct
 color2_target, audio1_L_file,4,0,I3correct
 color2_target, audio2_H_file,4,0,I3correct
 color2_target, audio2_L_file,4,0,I3correct
 color1_H, audio1_target_file,4,0,I3correct
 color1_H, audio2_target_file,4,0,I3correct
 color1_H, audio1_H_file,4,0,I3correct
 color1_H, audio1_L_file,4,0,I3correct
 color1_H, audio2_H_file,4,0,I3correct
 color1_H, audio2_L_file,4,0,I3correct
 color1_L, audio1_target_file,4,0,I3correct
 color1_L, audio2_target_file,4,0,I3correct
 color1_L, audio1_H_file,4,0,I3correct
 color1_L, audio1_L_file,4,0,I3correct
 color1_L, audio2_H_file,4,0,I3correct
 color1_L, audio2_L_file,4,0,I3correct
 color2_L, audio1_target_file,4,0,I3correct
 color2_L, audio2_target_file,4,0,I3correct
 color2_L, audio1_H_file,4,0,I3correct
 color2_L, audio1_L_file,4,0,I3correct
 color2_L, audio2_H_file,4,0,I3correct
 color2_L, audio2_L_file,4,0,I3correct
 color2_H, audio1_target_file,4,0,I3correct
 color2_H, audio2_target_file,4,0,I3correct
 color2_H, audio1_H_file,4,0,I3correct
 color2_H, audio1_L_file,4,0,I3correct
 color2_H, audio2_H_file,4,0,I3correct
 color2_H, audio2_L_file,4,0,I3correct
