targetCol,targetAud,ResponseBox,Acc,resp
 color1_target, audio1_target_file,y,1,"Correct"
 color1_target, audio2_target_file,y,1,"Correct"
 color1_target, audio1_H_file,n,1,"Correct"
 color1_target, audio1_L_file,n,1,"Correct"
 color1_target, audio2_H_file,n,1,"Correct"
 color1_target, audio2_L_file,n,1,"Correct"
 color2_target, audio1_target_file,y,1,"Correct"
 color2_target, audio2_target_file,y,1,"Correct"
 color2_target, audio1_H_file,n,1,"Correct"
 color2_target, audio1_L_file,n,1,"Correct"
 color2_target, audio2_H_file,n,1,"Correct"
 color2_target, audio2_L_file,n,1,"Correct"
 color1_H, audio1_target_file,n,1,"Correct"
 color1_H, audio2_target_file,n,1,"Correct"
 color1_H, audio1_H_file,n,1,"Correct"
 color1_H, audio1_L_file,n,1,"Correct"
 color1_H, audio2_H_file,n,1,"Correct"
 color1_H, audio2_L_file,n,1,"Correct"
 color1_L, audio1_target_file,n,1,"Correct"
 color1_L, audio2_target_file,n,1,"Correct"
 color1_L, audio1_H_file,n,1,"Correct"
 color1_L, audio1_L_file,n,1,"Correct"
 color1_L, audio2_H_file,n,1,"Correct"
 color1_L, audio2_L_file,n,1,"Correct"
 color2_L, audio1_target_file,n,1,"Correct"
 color2_L, audio2_target_file,n,1,"Correct"
 color2_L, audio1_H_file,n,1,"Correct"
 color2_L, audio1_L_file,n,1,"Correct"
 color2_L, audio2_H_file,n,1,"Correct"
 color2_L, audio2_L_file,n,1,"Correct"
 color2_H, audio1_target_file,n,1,"Correct"
 color2_H, audio2_target_file,n,1,"Correct"
 color2_H, audio1_H_file,n,1,"Correct"
 color2_H, audio1_L_file,n,1,"Correct"
 color2_H, audio2_H_file,n,1,"Correct"
 color2_H, audio2_L_file,n,1,"Correct"
 color1_target, audio1_target_file,n,0,"Incorrect"
 color1_target, audio2_target_file,n,0,"Incorrect"
 color1_target, audio1_H_file,y,0,"Incorrect"
 color1_target, audio1_L_file,y,0,"Incorrect"
 color1_target, audio2_H_file,y,0,"Incorrect"
 color1_target, audio2_L_file,y,0,"Incorrect"
 color2_target, audio1_target_file,n,0,"Incorrect"
 color2_target, audio2_target_file,n,0,"Incorrect"
 color2_target, audio1_H_file,y,0,"Incorrect"
 color2_target, audio1_L_file,y,0,"Incorrect"
 color2_target, audio2_H_file,y,0,"Incorrect"
 color2_target, audio2_L_file,y,0,"Incorrect"
 color1_H, audio1_target_file,y,0,"Incorrect"
 color1_H, audio2_target_file,y,0,"Incorrect"
 color1_H, audio1_H_file,y,0,"Incorrect"
 color1_H, audio1_L_file,y,0,"Incorrect"
 color1_H, audio2_H_file,y,0,"Incorrect"
 color1_H, audio2_L_file,y,0,"Incorrect"
 color1_L, audio1_target_file,y,0,"Incorrect"
 color1_L, audio2_target_file,y,0,"Incorrect"
 color1_L, audio1_H_file,y,0,"Incorrect"
 color1_L, audio1_L_file,y,0,"Incorrect"
 color1_L, audio2_H_file,y,0,"Incorrect"
 color1_L, audio2_L_file,y,0,"Incorrect"
 color2_L, audio1_target_file,y,0,"Incorrect"
 color2_L, audio2_target_file,y,0,"Incorrect"
 color2_L, audio1_H_file,y,0,"Incorrect"
 color2_L, audio1_L_file,y,0,"Incorrect"
 color2_L, audio2_H_file,y,0,"Incorrect"
 color2_L, audio2_L_file,y,0,"Incorrect"
 color2_H, audio1_target_file,y,0,"Incorrect"
 color2_H, audio2_target_file,y,0,"Incorrect"
 color2_H, audio1_H_file,y,0,"Incorrect"
 color2_H, audio1_L_file,y,0,"Incorrect"
 color2_H, audio2_H_file,y,0,"Incorrect"
 color2_H, audio2_L_file,y,0,"Incorrect"
